capres,provinsi,prov.asli,no.urut,suara,persen,latitude,longitude,warna,total.suara,dpt,partisipasi,sig.wil
Prabowo,Aceh,Aceh,1,1089290,54.39,4.695.135,967.493.993,#0033FF,2002599,3329338,60.15,1.7845053798339838
Jokowi,Aceh,Aceh,2,913309,45.61,4.695.135,967.493.993,#DE0D0D,2002599,3329338,60.15,1.7845053798339838
Prabowo,Bali,Bali,1,614241,28.58,-84.095.178,115.188.916,#0033FF,2149351,2940641,73.09,1.5761660980832783
Jokowi,Bali,Bali,2,1535110,71.42,-84.095.178,115.188.916,#DE0D0D,2149351,2940641,73.09,1.5761660980832783
Prabowo,Babel,Bangka Belitung,1,200706,32.74,-27.410.513,1.064.405.872,#0033FF,613065,923810,66.36,0.4951566692671133
Jokowi,Babel,Bangka Belitung,2,412359,67.26,-27.410.513,1.064.405.872,#DE0D0D,613065,923810,66.36,0.4951566692671133
Prabowo,Banten,Banten,1,3192671,57.01,-64.058.172,1.060.640.179,#0033FF,5591302,7886845,70.89,4.227302043954911
Jokowi,Banten,Banten,2,2398631,42.09,-64.058.172,1.060.640.179,#DE0D0D,5591302,7886845,70.89,4.227302043954911
Prabowo,Bengkulu,Bengkulu,1,433173,45.27,-35.778.471,1.023.463.875,#0033FF,956842,1367007,70,0.732707627093048
Jokowi,Bengkulu,Bengkulu,2,523669,54.73,-35.778.471,1.023.463.875,#DE0D0D,956842,1367007,70,0.732707627093048
Prabowo,DIY,Daerah Istimewa Yogyakarta,1,977342,44.19,-78.753.849,1.104.262.088,#0033FF,2211591,2732120,80.95,1.4644000814432248
Jokowi,DIY,Daerah Istimewa Yogyakarta,2,1234249,55.81,-78.753.849,1.104.262.088,#DE0D0D,2211591,2732120,80.95,1.4644000814432248
Prabowo,Gorontalo,Gorontalo,1,378735,63.01,0.6999372,1.224.467.238,#0033FF,600232,802905,74.76,0.4303523078749002
Jokowi,Gorontalo,Gorontalo,2,221497,36.09,0.6999372,1.224.467.238,#DE0D0D,600232,802905,74.76,0.4303523078749002
Prabowo,DKI,Jakarta,1,2528770,46.91,-6.211.544,106.845.172,#0033FF,5390187,7021514,76.77,3.763489771113547
Jokowi,DKI,Jakarta,2,2861417,53.09,-6.211.544,106.845.172,#DE0D0D,5390187,7021514,76.77,3.763489771113547
Prabowo,Jambi,Jambi,1,871316,49.25,-14.851.831,1.024.380.581,#0033FF,1769103,2459706,71.92,1.3183877965559305
Jokowi,Jambi,Jambi,2,897787,50.75,-14.851.831,1.024.380.581,#DE0D0D,1769103,2459706,71.92,1.3183877965559305
Prabowo,Jabar,Jawa Barat,1,14167381,59.78,-7.090.911,107.668.887,#0033FF,23697696,32711732,72.44,17.533293927407634
Jokowi,Jabar,Jawa Barat,2,9530315,40.22,-7.090.911,107.668.887,#DE0D0D,23697696,32711732,72.44,17.533293927407634
Prabowo,Jateng,Jawa Tengah,1,6485720,33.35,-7.150.975,1.101.402.594,#0033FF,19445260,27220415,71.44,14.589980653455331
Jokowi,Jateng,Jawa Tengah,2,12959540,66.65,-7.150.975,1.101.402.594,#DE0D0D,19445260,27220415,71.44,14.589980653455331
Prabowo,Jatim,Jawa Timur,1,10277088,46.83,-75.360.639,1.122.384.017,#0033FF,21946401,30511828,71.93,16.35415845869935
